lemRank,lemma,PoS,lemFreq,wordFreq,word,,Data Sourced From: www.wordfrequency.info
2107,FALSE,j,41580,41580,FALSE,,
414,TRUE,j,235467,233661,TRUE,,
11,have,v,10514314,784592,'d,,
47,will,v,2372215,992384,'ll,,
2,be,v,32394756,1716283,'m,,
2,be,v,32394756,1957882,'re,,
2,be,v,32394756,6303682,'s,,
11,have,v,10514314,1015706,'ve,,
4,a,a,24225478,21166065,a,,
1700,ad,n,54265,287,a.d.,,
1500,am,r,63615,56128,a.m.,,
4868,aah,u,12535,12535,aah,,
2495,abandon,v,32838,10184,abandon,,
2495,abandon,v,32838,17919,abandoned,,
2495,abandon,v,32838,3926,abandoning,,
2495,abandon,v,32838,809,abandons,,
789,ability,n,122943,15846,abilities,,
789,ability,n,122943,107097,ability,,
355,able,j,279559,279559,able,,
1953,abortion,n,45934,38143,abortion,,
1953,abortion,n,45934,7791,abortions,,
45,about,i,2427703,2427703,about,,
204,about,r,462995,462995,about,,
1082,above,i,90318,90318,above,,
1548,above,r,61018,61018,above,,
4202,above,j,15751,15751,above,,
3803,abroad,r,18252,18252,abroad,,
2778,absence,n,28618,27552,absence,,
2778,absence,n,28618,1066,absences,,
3063,absolute,j,25184,25184,absolute,,
980,absolutely,r,98574,98574,absolutely,,
3658,absorb,v,19353,7937,absorb,,
3658,absorb,v,19353,7862,absorbed,,
3658,absorb,v,19353,1883,absorbing,,
3658,absorb,v,19353,1671,absorbs,,
4502,abstract,j,14180,14180,abstract,,
1716,abuse,n,53777,49050,abuse,,
3714,abuse,v,18959,4026,abuse,,
3714,abuse,v,18959,9662,abused,,
1716,abuse,n,53777,4727,abuses,,
3714,abuse,v,18959,2022,abuses,,
3714,abuse,v,18959,3249,abusing,,
1629,academic,j,57717,57717,academic,,
2474,Academy,n,33028,1636,academies,,
2474,Academy,n,33028,31392,academy,,
4415,accent,n,14628,11561,accent,,
4415,accent,n,14628,3067,accents,,
816,accept,v,119245,63805,accept,,
3504,acceptable,j,20624,20624,acceptable,,
3940,acceptance,n,17373,16782,acceptance,,
3940,acceptance,n,17373,591,acceptances,,
816,accept,v,119245,35626,accepted,,
816,accept,v,119245,14109,accepting,,
816,accept,v,119245,5705,accepts,,
1013,access,n,95371,95369,access,,
2875,access,v,27476,15928,access,,
2875,access,v,27476,8467,accessed,,
2875,access,v,27476,447,accesses,,
4035,accessible,j,16761,16761,accessible,,
2875,access,v,27476,2634,accessing,,
1739,accident,n,52784,7,acci-dent,,
1739,accident,n,52784,42363,accident,,
1739,accident,n,52784,10414,accidents,,
4512,accommodate,v,14139,10592,accommodate,,
4512,accommodate,v,14139,1291,accommodated,,
4512,accommodate,v,14139,684,accommodates,,
4512,accommodate,v,14139,1572,accommodating,,
3027,accompany,v,25567,15094,accompanied,,
3027,accompany,v,25567,1886,accompanies,,
3027,accompany,v,25567,5935,accompany,,
3027,accompany,v,25567,2652,accompanying,,
2423,accomplish,v,33992,15619,accomplish,,
2423,accomplish,v,33992,15456,accomplished,,
2423,accomplish,v,33992,926,accomplishes,,
2423,accomplish,v,33992,1991,accomplishing,,
4632,accomplishment,n,13575,6245,accomplishment,,
4632,accomplishment,n,13575,7330,accomplishments,,
462,according,i,208405,208405,according,,
947,account,n,101683,68693,account,,
2147,account,v,40739,18573,account,,
4842,accountability,n,12699,24,accountabilities,,
4842,accountability,n,12699,12675,accountability,,
2147,account,v,40739,9029,accounted,,
2147,account,v,40739,6942,accounting,,
4952,accounting,n,12243,12194,accounting,,
4952,accounting,n,12243,49,accountings,,
947,account,n,101683,32990,accounts,,
2147,account,v,40739,6195,accounts,,
4022,accuracy,n,16834,172,accuracies,,
4022,accuracy,n,16834,16662,accuracy,,
2593,accurate,j,31068,31068,accurate,,
5007,accurately,r,12052,12052,accurately,,
4503,accusation,n,14179,4516,accusation,,
4503,accusation,n,14179,9663,accusations,,
2004,accuse,v,44491,5671,accuse,,
2004,accuse,v,44491,30348,accused,,
2004,accuse,v,44491,2147,accuses,,
2004,accuse,v,44491,6325,accusing,,
1280,achieve,v,74946,103,acheive,,
1280,achieve,v,74946,38761,achieve,,
1280,achieve,v,74946,23277,achieved,,
2301,achievement,n,36879,29198,achievement,,
2301,achievement,n,36879,7681,achievements,,
1280,achieve,v,74946,1934,achieves,,
1280,achieve,v,74946,10871,achieving,,
3279,acid,n,22925,17105,acid,,
3279,acid,n,22925,5820,acids,,
1854,acknowledge,v,48811,19737,acknowledge,,
1854,acknowledge,v,48811,16076,acknowledged,,
1854,acknowledge,v,48811,7066,acknowledges,,
1854,acknowledge,v,48811,5932,acknowledging,,
2331,acquire,v,36094,11814,acquire,,
2331,acquire,v,36094,17275,acquired,,
2331,acquire,v,36094,1233,acquires,,
2331,acquire,v,36094,5772,acquiring,,
4142,acquisition,n,16072,12320,acquisition,,
4142,acquisition,n,16072,3752,acquisitions,,
3209,acre,n,23558,3976,acre,,
3209,acre,n,23558,19582,acres,,
432,across,i,226402,226402,across,,
3526,across,r,20474,20474,across,,
702,act,n,137668,110139,act,,
813,act,v,119650,57751,act,,
813,act,v,119650,15485,acted,,
813,act,v,119650,36057,acting,,
485,action,n,198530,137393,action,,
485,action,n,198530,61137,actions,,
1602,active,j,58801,58801,active,,
4180,actively,r,15862,15862,actively,,
2719,activist,n,29161,12193,activist,,
